shop_name,shop_description,shop_address,shop_phone,shop_latitude,shop_longitude,shop_shopping,shop_pickup
GM Petshop,Pet store,"Jl. Pluit Sakti No.77, RT.4/RW.6, Pluit, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",0815-9397-767,-6.120081345053343,106.78911756325931,1,1
KGP Petshop,Pet store,"Jl. Boulevard Raya Blok WB2 No.6, RT.11/RW.16, Klp. Gading Tim., Kec. Klp. Gading, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14240",0812-1177-7815,-6.160534928985494,106.90270500180605,1,1
Persia Petshop,Pet store,"Jl. Alur Laut No.5-1, RT.3/RW.6, Rawabadak Sel., Kec. Koja, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14230", 0859-4560-7890,-6.12299245765215,106.89916843800916,1,1
Roy Petshop,Pet store,"Jl. Warakas Gg. 8 No.63a, RT.1/RW.6, Warakas, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14340",0838-7036-4025,-6.118469595696165,106.87869034822408,1,1
C n C Petshop and Grooming Salon,Pet store,"Jalan Raya Kelapa Hibrida Blok QK 1/22, Kelapa Gading, Jl. Raya Klp. Hybrida, RT.3/RW.12, Klp. Gading Bar., Kec. Klp. Gading, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14250", (021) 4534407,-6.143830292122883,106.90654791106861,1,1
VRDNal Petshop,Pet store,"Jl. Danau sunter Utara block J-12 No.57, RT.10/RW.14, Sunter Agung, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14350",0851-0073-2013,-6.136958504616228,106.87544085396729,1,1
Rini Kembar Petshop,Pet store,"Jl. Tipar Cakung No.23, RT.1/RW.4, Semper Bar., Kec. Cilincing, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14140",0838-0692-9902,-6.128043158138868,106.91892603748974,1,1
Happy Lucky Petshop,Pet store,"Komplek Ruko Metro, Jl. Danau Sunter Utara Kompleks Ruko Metro Sunter Blok.A-1 No.4 10, RT.10/RW.4, Papanggo, Tanjung Priok, North Jakarta City, Jakarta 14350",(021) 22653361,-6.135865314585634,106.87263915095943,1,1
Mini Bear Petshop,Pet store,"Jl. Pademangan 2 Raya Jl. Pademangan I Gg. 19 No.2, RT.14/RW.3, Pademangan Tim., Kec. Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14410", 0838-9500-9788,-6.137830785770265,106.84480456644819,1,1
Siego Petshop,Pet store,"Jl. Batu Ampar IV No.70, RT.9/RW.5, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13760",0811-1770-118,-6.277350886634866,106.86222601779473,1,1
Segitu Petshop,Pet store,"Jl. Batu Agung No.35, RT.7/RW.15, Cililitan, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13640", 0813-1566-3153,-6.265468219971867,106.86442373394853,1,1
Liz Petshop,Pet store,"Ps. Kp. Ambon, Rawamangun, Jl. Angkur No.12C, RT.17/RW.3, Kayu Putih, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 14310",0818-0623-0302,-6.185084221885493,106.88565310279557,1,1
Alesha Petshop,Pet store,"Di depan MTsN Jl. Pertengahan No.33, RT.1/RW.3, Cijantung, Pasarrebo, Jawa Barat, Daerah Khusus Ibukota Jakarta 13770",0821-1012-5438,-6.311853386939005,106.8595348217177,1,1
Sandika Petshop,Pet store,"Jalan Pertengahan No 23, Gg. Kramat 4 No.Samping, RT.3/RW.3, Cijantung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13770",0811-1609-955,-6.315942655521606,106.85850485346336,1,1
Deeva Petshop dan Praktek Dokter Hewan,Pet store,"Jl. Dermaga Raya (Duren Sawit) Blok HI NO 10 Jakarta Timur, Jakarta Timur, Indonesia, RT.5/RW.10, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13340", 0812-9059-9957,-6.217974439267768,106.91065722488999,1,1
Reeban Petshop,Pet store,"Jl. Pahlawan Revolusi No.6b, RT.3/RW.4, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430", 0821-7777-0503,-6.236160475222107,106.89980041532756,1,1
Pampamdo Petshop,Pet store,"Jl. Slamet Riyadi III No.15, RT.7/RW.4, Kb. Manggis, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13150",0821-1279-2969,-6.210039872490787,106.85675198816016,1,1
Kinby Petshop,Pet store,"Jl. Rawasari Timur No.16, RT.9/RW.2, East Cempaka Putih, Cempaka Putih, Central Jakarta City, Jakarta 10510", 0857-1057-9389,-6.182740980624629,106.87151421826607,1,1
Allis Petshop,Pet store,"Jl. Ks. Tubun No.83, RT.2/RW.4, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10260",(021) 53670310,-6.193614974931559,106.8054493895388,1,1
Marceline Petshop,Pet store,"Jalan Raden Saleh Raya No.14 L, Kenari, Senen, Jakarta Pusat, RT.10/RW.1, Kenari, Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430", (021) 31906057,-6.189359903069757,106.84476539925781,1,1
CL Petshop,Pet store,"Jl. Cempaka Baru Tengah No.29, RT.3/RW.7, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640",0877-8882-8205,-6.163993702009254,106.86186014555689,1,1
Lunof Petshop,Pet store,"l. Mentas Selatan I No.19 6 12, RT.6/RW.12, Menteng Atas, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12960",0878-8600-7100,-6.213725298372267,106.83833483809931,1,1
Jakarta Pet Center,Pet store,"Jl. Gajah Mada No.19-26, RT.2/RW.1, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",(021) 6341179,-6.15993891791749,106.81757720015536,1,1
Queen Petshop,Pet store,"Jl. Sumur Batu Raya No.1, RT.3/RW.5, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640", 0821-1395-9965,-6.163311025822069,106.86769663237347,1,1
WW Petshop,Pet store,"Jl. Rawa Selatan IV No.29a, RT.5/RW.5, Kp. Rw., Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10560",0821-1288-8866,-6.180473259813237,106.85862857520753,1,1
